source_label,target_label,source,target,value,source_res,source_cluster,target_res,target_cluster,CD8A_hex,CD3E_hex,FCER1A_hex
res.0.1_3,res.0.2_4,2,5,99,res.0.1,3,res.0.2,4,#f8f6fa,#f6f4f9,#fcfbfd
res.0.1_1,res.0.2_5,3,6,94,res.0.1,1,res.0.2,5,#faf9fc,#fcfbfd,#fcfbfd
res.0.1_2,res.0.2_3,1,9,101,res.0.1,2,res.0.2,3,#eceaf3,#c5c6e1,#fbfafc
res.0.1_0,res.0.2_0,4,11,203,res.0.1,0,res.0.2,0,#e2e1ef,#7566ae,#fbfafc
res.0.1_1,res.0.2_2,3,8,107,res.0.1,1,res.0.2,2,#f8f7fa,#f7f6fa,#fcfbfd
res.0.1_0,res.0.2_1,4,10,110,res.0.1,0,res.0.2,1,#53258e,#7d78b7,#fcfbfd
res.0.1_4,res.0.2_6,0,7,32,res.0.1,4,res.0.2,6,#faf8fb,#f7f6fa,#3f007d
res.0.2_4,res.0.3_3,5,16,99,res.0.2,4,res.0.3,3,#f8f6fa,#f6f4f9,#fcfbfd
res.0.2_5,res.0.3_5,6,13,94,res.0.2,5,res.0.3,5,#faf9fc,#fcfbfd,#fcfbfd
res.0.2_3,res.0.3_2,9,15,101,res.0.2,3,res.0.3,2,#eceaf3,#c5c6e1,#fbfafc
res.0.2_0,res.0.3_0,11,18,203,res.0.2,0,res.0.3,0,#e2e1ef,#7566ae,#fbfafc
res.0.2_2,res.0.3_1,8,17,107,res.0.2,2,res.0.3,1,#f8f7fa,#f7f6fa,#fcfbfd
res.0.2_1,res.0.3_4,10,12,97,res.0.2,1,res.0.3,4,#3f007d,#705eaa,#fcfbfd
res.0.2_6,res.0.3_6,7,14,32,res.0.2,6,res.0.3,6,#faf8fb,#f7f6fa,#3f007d
res.0.2_1,res.0.3_7,10,19,13,res.0.2,1,res.0.3,7,#fcfbfd,#f3f2f8,#fcfbfd
res.0.3_3,res.0.4_3,16,24,99,res.0.3,3,res.0.4,3,#f8f6fa,#f6f4f9,#fcfbfd
res.0.3_5,res.0.4_5,13,21,94,res.0.3,5,res.0.4,5,#faf9fc,#fcfbfd,#fcfbfd
res.0.3_2,res.0.4_2,15,23,101,res.0.3,2,res.0.4,2,#eceaf3,#c5c6e1,#fbfafc
res.0.3_0,res.0.4_0,18,26,203,res.0.3,0,res.0.4,0,#e2e1ef,#7566ae,#fbfafc
res.0.3_1,res.0.4_1,17,25,107,res.0.3,1,res.0.4,1,#f8f7fa,#f7f6fa,#fcfbfd
res.0.3_4,res.0.4_4,12,20,97,res.0.3,4,res.0.4,4,#3f007d,#705eaa,#fcfbfd
res.0.3_6,res.0.4_6,14,22,32,res.0.3,6,res.0.4,6,#faf8fb,#f7f6fa,#3f007d
res.0.3_7,res.0.4_7,19,27,13,res.0.3,7,res.0.4,7,#fcfbfd,#f3f2f8,#fcfbfd
res.0.4_3,res.0.5_3,24,32,99,res.0.4,3,res.0.5,3,#f8f6fa,#f6f4f9,#fcfbfd
res.0.4_5,res.0.5_5,21,29,94,res.0.4,5,res.0.5,5,#faf9fc,#fcfbfd,#fcfbfd
res.0.4_2,res.0.5_2,23,31,101,res.0.4,2,res.0.5,2,#eceaf3,#c5c6e1,#fbfafc
res.0.4_0,res.0.5_0,26,34,202,res.0.4,0,res.0.5,0,#e2e1ef,#7566ae,#fbfafc
res.0.4_1,res.0.5_1,25,33,107,res.0.4,1,res.0.5,1,#f8f7fa,#f7f6fa,#fcfbfd
res.0.4_4,res.0.5_4,20,28,97,res.0.4,4,res.0.5,4,#3f007d,#705eaa,#fcfbfd
res.0.4_6,res.0.5_6,22,30,32,res.0.4,6,res.0.5,6,#faf8fb,#f7f6fa,#3f007d
res.0.4_7,res.0.5_7,27,35,13,res.0.4,7,res.0.5,7,#fcfbfd,#f3f2f8,#fcfbfd
res.0.4_0,res.0.5_4,26,28,1,res.0.4,0,res.0.5,4,#fcfbfd,#3f007d,#fcfbfd
